variant,domain,Z,Edge,Bdry,Edge_worst,Bdry_worst,disp_p95,disp_p99,disp_max,cg_iters,beta_frac
anchor-const,ALS-2cm,6.576060660962376,1.1581860368298158,0.07265237862118934,-0.7603100204570445,-7.227933136684417,1.096189427346818,1.475750601134167,2.0,24.5,0.04146125838791545
anchor-const,ALS-5cm,24.736672936070825,3.9080062772293234,5.659434711255474,-0.5818192508952436,-1.5927685771613298,1.2017689508921425,1.5542666482135203,2.0,38.375,0.08250836520936694
anchor-const,ALS-10cm,30.388241997414077,5.442635619559506,7.7402213159922475,-1.4860078881008487,0.5425017186613035,1.2333072005312684,1.56323032008811,2.0,57.5,0.1280635129997264
anchor-const,MN40,5.06509325964892,23.132811298741345,nan,15.359324953269226,nan,nan,1.4905456326276805,2.0,nan,nan
anchor-auto,ALS-2cm,6.562047462453485,1.1344019501872071,-0.47774781935612354,-1.2758103525935427,-7.85219299006481,1.102659477802577,1.4721763472848048,2.0,24.0,0.23413994541518582
anchor-auto,ALS-5cm,25.763642044737793,3.2613359245664038,6.087981750119149,-2.5248280407565993,-2.8681650079908305,1.2010037745518716,1.5450649380149049,2.0,39.75,0.2459618446204372
anchor-auto,ALS-10cm,31.032291077361712,3.8712264943083086,6.004112952539284,-4.586660435176504,-1.409384432207328,1.2329177385470147,1.5603275632756268,2.0,61.75,0.2331407301343654
anchor-auto,MN40,5.526751620016149,25.9518125563532,nan,15.138819834925455,nan,nan,1.5023851522049672,2.0,nan,nan
anchor-none,ALS-2cm,6.4585361655945634,0.6066288729558634,-0.8840553913319907,-2.0138016178391283,-7.928512386127462,1.102752631505876,1.4726643765585523,2.0,24.0,0.31072382866295495
anchor-none,ALS-5cm,25.63193668888526,2.5054849699461346,5.569656363850349,-3.396675429881668,-4.162229562194275,1.2010573037505257,1.5448232800945156,2.0,39.875,0.2804156679968682
anchor-none,ALS-10cm,30.902566946460116,3.110799205743444,5.69802945792581,-5.043947165115048,-1.6518112344593217,1.232486923411108,1.5599147310281647,2.0,61.625,0.2389338132584829
anchor-none,MN40,5.523010306363057,25.966493875596186,nan,15.099403844700943,nan,nan,1.5025382367282492,2.0,nan,nan
beta-off,ALS-2cm,6.575722008091874,1.1593045178259875,0.07514294018245582,-0.7582696022919277,-7.193393616502042,1.096188252637555,1.4757505032293414,2.0,24.5,0.025478705105470883
beta-off,ALS-5cm,24.736909421800778,3.9115161408976014,5.654584959252253,-0.584504529811003,-1.5898035775205877,1.2017720303353372,1.5542726229648163,2.0,38.375,0.07058296750156033
beta-off,ALS-10cm,30.386381002081023,5.440356491970291,7.734774850287927,-1.5222622904542016,0.5464163551539336,1.2333327636014428,1.5632313555888502,2.0,57.5,0.12153169447683111
beta-off,MN40,5.064907395571004,23.130788786392415,nan,15.360983490864388,nan,nan,1.490566730537467,2.0,nan,nan
