sample,frac,seed,method,P,R,F1,F1_oracle
PU-Icosahedron,0.05,7,Calibrated,0.9978260869565218,0.918,0.95625,0.9528795811518325
PU-Icosahedron,0.05,7,SOR,1.0,0.696,0.820754716981132,0.9528795811518325
PU-Icosahedron,0.05,7,LOF,1.0,0.754,0.8597491448118586,0.9507853403141362
PU-Icosahedron,0.05,19,Calibrated,1.0,0.874,0.9327641408751334,0.9361256544502617
PU-Icosahedron,0.05,19,SOR,1.0,0.66,0.7951807228915663,0.9298429319371727
PU-Icosahedron,0.05,19,LOF,1.0,0.724,0.839907192575406,0.9109947643979057
PU-Icosahedron,0.05,101,Calibrated,1.0,0.906,0.9506820566631689,0.9528795811518325
PU-Icosahedron,0.05,101,SOR,1.0,0.698,0.8221436984687868,0.9507853403141362
PU-Icosahedron,0.05,101,LOF,1.0,0.734,0.8465974625144175,0.9465968586387435
PU-Icosahedron,0.15,7,Calibrated,1.0,0.84,0.9130434782608696,0.9436325678496869
PU-Icosahedron,0.15,7,SOR,1.0,0.5966666666666667,0.7473903966597077,0.9464161447459986
PU-Icosahedron,0.15,7,LOF,1.0,0.444,0.6149584487534626,0.9157060518731989
PU-Icosahedron,0.15,19,Calibrated,1.0,0.834,0.9094874591057797,0.9429366736256088
PU-Icosahedron,0.15,19,SOR,1.0,0.5733333333333334,0.728813559322034,0.9429366736256088
PU-Icosahedron,0.15,19,LOF,1.0,0.466,0.6357435197817191,0.9171469740634006
PU-Icosahedron,0.15,101,Calibrated,1.0,0.846,0.9165763813651137,0.9471120389700765
PU-Icosahedron,0.15,101,SOR,1.0,0.5906666666666667,0.7426655490360435,0.9498956158663884
PU-Icosahedron,0.15,101,LOF,1.0,0.45066666666666666,0.6213235294117646,0.9099423631123918
PU-Octahedron,0.05,7,Calibrated,1.0,0.936,0.9669421487603307,0.9528795811518325
PU-Octahedron,0.05,7,SOR,1.0,0.786,0.8801791713325868,0.9528795811518325
PU-Octahedron,0.05,7,LOF,1.0,0.502,0.6684420772303595,0.9424083769633509
PU-Octahedron,0.05,19,Calibrated,1.0,0.964,0.9816700610997963,0.9528795811518325
PU-Octahedron,0.05,19,SOR,1.0,0.814,0.8974641675854464,0.9528795811518325
PU-Octahedron,0.05,19,LOF,1.0,0.56,0.717948717948718,0.9465968586387435
PU-Octahedron,0.05,101,Calibrated,1.0,0.938,0.9680082559339525,0.9528795811518325
PU-Octahedron,0.05,101,SOR,1.0,0.792,0.8839285714285714,0.9528795811518325
PU-Octahedron,0.05,101,LOF,1.0,0.5,0.6666666666666666,0.9151832460732984
PU-Octahedron,0.15,7,Calibrated,1.0,0.8946666666666667,0.9444053483462351,0.9612924941097273
PU-Octahedron,0.15,7,SOR,1.0,0.7353333333333333,0.8474836726853631,0.9673510602490744
PU-Octahedron,0.15,7,LOF,1.0,0.29133333333333333,0.4512132163138875,0.7950727883538634
PU-Octahedron,0.15,19,Calibrated,1.0,0.89,0.9417989417989417,0.9660047122181082
PU-Octahedron,0.15,19,SOR,1.0,0.736,0.847926267281106,0.9761023224503534
PU-Octahedron,0.15,19,LOF,1.0,0.30533333333333335,0.4678243105209397,0.8182157521463232
PU-Octahedron,0.15,101,Calibrated,1.0,0.8886666666666667,0.9410518884574656,0.9612924941097273
PU-Octahedron,0.15,101,SOR,1.0,0.734,0.8465974625144175,0.9666778862335913
PU-Octahedron,0.15,101,LOF,1.0,0.29133333333333333,0.4512132163138875,0.7928331466965285
PU-camel,0.05,7,Calibrated,1.0,0.746,0.854524627720504,0.9026178010471204
PU-camel,0.05,7,SOR,1.0,0.686,0.8137603795966786,0.9214659685863875
PU-camel,0.05,7,LOF,1.0,0.66,0.7951807228915663,0.836027713625866
PU-camel,0.05,19,Calibrated,1.0,0.722,0.8385598141695703,0.8963350785340314
PU-camel,0.05,19,SOR,1.0,0.712,0.8317757009345794,0.9235602094240838
PU-camel,0.05,19,LOF,1.0,0.608,0.7562189054726367,0.8198614318706696
PU-camel,0.05,101,Calibrated,1.0,0.722,0.8385598141695703,0.9026178010471204
PU-camel,0.05,101,SOR,1.0,0.724,0.839907192575406,0.9193717277486911
PU-camel,0.05,101,LOF,1.0,0.604,0.7531172069825436,0.8060046189376444
PU-camel,0.15,7,Calibrated,1.0,0.5146666666666667,0.6795774647887324,0.893528183716075
PU-camel,0.15,7,SOR,1.0,0.638,0.778998778998779,0.9290187891440501
PU-camel,0.15,7,LOF,1.0,0.4493333333333333,0.6200551977920883,0.7711832773422919
PU-camel,0.15,19,Calibrated,1.0,0.516,0.6807387862796834,0.8900487125956854
PU-camel,0.15,19,SOR,1.0,0.6373333333333333,0.7785016286644951,0.9304105775922059
PU-camel,0.15,19,LOF,1.0,0.45266666666666666,0.6232216613125288,0.761425251742835
PU-camel,0.15,101,Calibrated,1.0,0.5046666666666667,0.6708019494904741,0.8861671469740633
PU-camel,0.15,101,SOR,1.0,0.6253333333333333,0.7694831829368335,0.9311064718162839
PU-camel,0.15,101,LOF,1.0,0.442,0.6130374479889044,0.7756625606569615
PU-casting,0.05,7,Calibrated,1.0,0.54,0.7012987012987013,0.836027713625866
PU-casting,0.05,7,SOR,1.0,0.616,0.7623762376237623,0.8452655889145496
PU-casting,0.05,7,LOF,1.0,0.518,0.6824769433465085,0.8267898383371823
PU-casting,0.05,19,Calibrated,1.0,0.584,0.7373737373737373,0.8383371824480369
PU-casting,0.05,19,SOR,1.0,0.62,0.7654320987654321,0.8429561200923789
PU-casting,0.05,19,LOF,1.0,0.548,0.7080103359173127,0.836027713625866
PU-casting,0.05,101,Calibrated,1.0,0.518,0.6824769433465085,0.8429561200923789
PU-casting,0.05,101,SOR,1.0,0.638,0.778998778998779,0.850261780104712
PU-casting,0.05,101,LOF,1.0,0.534,0.6962190352020861,0.837696335078534
PU-casting,0.15,7,Calibrated,1.0,0.27666666666666667,0.43342036553524804,0.8152295632698768
PU-casting,0.15,7,SOR,1.0,0.5633333333333334,0.720682302771855,0.8749533407988056
PU-casting,0.15,7,LOF,1.0,0.298,0.4591679506933744,0.7714949651432998
PU-casting,0.15,19,Calibrated,1.0,0.262,0.4152139461172742,0.8077640910787609
PU-casting,0.15,19,SOR,1.0,0.5686666666666667,0.725031874203145,0.8703170028818445
PU-casting,0.15,19,LOF,1.0,0.2866666666666667,0.4455958549222798,0.7792408985282727
PU-casting,0.15,101,Calibrated,1.0,0.278,0.4350547730829421,0.8152295632698768
PU-casting,0.15,101,SOR,1.0,0.564,0.7212276214833758,0.8756998880179171
PU-casting,0.15,101,LOF,1.0,0.304,0.4662576687116564,0.7579250720461095
PU-chair,0.05,7,Calibrated,1.0,0.858,0.9235737351991388,0.9528795811518325
PU-chair,0.05,7,SOR,1.0,0.782,0.877665544332211,0.9528795811518325
PU-chair,0.05,7,LOF,1.0,0.7,0.8235294117647058,0.8795811518324608
PU-chair,0.05,19,Calibrated,1.0,0.842,0.9142236699239956,0.9507853403141362
PU-chair,0.05,19,SOR,1.0,0.806,0.8925802879291251,0.9528795811518325
PU-chair,0.05,19,LOF,1.0,0.746,0.854524627720504,0.9214659685863875
PU-chair,0.05,101,Calibrated,1.0,0.85,0.9189189189189189,0.9528795811518325
PU-chair,0.05,101,SOR,1.0,0.816,0.8986784140969163,0.9528795811518325
PU-chair,0.05,101,LOF,1.0,0.722,0.8385598141695703,0.8858638743455498
PU-chair,0.15,7,Calibrated,1.0,0.6046666666666667,0.7536352305774824,0.9451363177381353
PU-chair,0.15,7,SOR,1.0,0.7086666666666667,0.8294966835739367,0.9740828004039045
PU-chair,0.15,7,LOF,1.0,0.4513333333333333,0.6219568213137344,0.7370317002881844
PU-chair,0.15,19,Calibrated,1.0,0.558,0.7163029525032093,0.9394572025052192
PU-chair,0.15,19,SOR,1.0,0.6986666666666667,0.8226059654631084,0.9606193200942444
PU-chair,0.15,19,LOF,1.0,0.4553333333333333,0.6257443884562528,0.7749160134378499
PU-chair,0.15,101,Calibrated,1.0,0.5853333333333334,0.7384356602186712,0.9436325678496869
PU-chair,0.15,101,SOR,1.0,0.7033333333333334,0.8258317025440314,0.9592729720632784
PU-chair,0.15,101,LOF,1.0,0.436,0.6072423398328691,0.737412858249419
PU-coverrear_Lp,0.05,7,Calibrated,1.0,0.558,0.7163029525032093,0.7551963048498845
PU-coverrear_Lp,0.05,7,SOR,1.0,0.466,0.6357435197817191,0.7528868360277137
PU-coverrear_Lp,0.05,7,LOF,1.0,0.302,0.4639016897081413,0.720554272517321
PU-coverrear_Lp,0.05,19,Calibrated,0.9962962962962963,0.538,0.6987012987012988,0.7551963048498845
PU-coverrear_Lp,0.05,19,SOR,1.0,0.452,0.6225895316804408,0.7413394919168591
PU-coverrear_Lp,0.05,19,LOF,1.0,0.302,0.4639016897081413,0.7078507078507079
PU-coverrear_Lp,0.05,101,Calibrated,0.9962406015037594,0.53,0.6919060052219321,0.7598152424942264
PU-coverrear_Lp,0.05,101,SOR,1.0,0.464,0.6338797814207651,0.7690531177829099
PU-coverrear_Lp,0.05,101,LOF,1.0,0.3,0.4615384615384615,0.7321016166281755
PU-coverrear_Lp,0.15,7,Calibrated,1.0,0.41133333333333333,0.5829003306565895,0.7583268783888458
PU-coverrear_Lp,0.15,7,SOR,1.0,0.3933333333333333,0.5645933014354066,0.7699457784663051
PU-coverrear_Lp,0.15,7,LOF,1.0,0.15733333333333333,0.271889400921659,0.7071638039379975
PU-coverrear_Lp,0.15,19,Calibrated,1.0,0.4066666666666667,0.5781990521327014,0.7629778672032193
