shape,noise,cd_noisy,cd_denoised,centroid_shift,scale_ratio,mean_disp
Icosahedron,0.01,2.3978110272965893,2.054293616917525,6.309572755269027e-06,0.9958553123849826,0.0020937157784199664
Icosahedron,0.02,5.124044003336765,4.51215616591255,8.209007043176869e-06,0.9954978137674205,0.0024216084230154083
Octahedron,0.01,2.0988045388810423,1.8093137633694452,3.827542729053033e-06,0.996470689862202,0.0018766680861928137
Octahedron,0.02,4.43631376444545,3.9602173409605714,8.595005065873124e-06,0.9961838101750434,0.0020807728626203704
camel,0.01,1.3245339496830464,1.187155188241613,3.332045347941097e-06,0.9976581232514921,0.0012005040205428337
camel,0.02,2.9868273130590794,2.7949219993642016,1.4766859793825282e-05,0.9972788456431333,0.0012615333812511119
casting,0.01,2.1207442338771365,1.967516346559471,8.120236127264e-06,0.9967034580781386,0.00151183642070218
casting,0.02,3.948834426516039,3.740667135096946,3.0810591238915433e-06,0.9961748836758947,0.0015892827114874243
chair,0.01,1.3891223305699096,1.2751241799438569,5.144278647526189e-06,0.9976297768793974,0.0012150752537232706
chair,0.02,2.873163000258001,2.7058805697821184,1.0295518361689354e-05,0.9980097589864374,0.0012843104496481337
coverrear_Lp,0.01,2.101725671833014,1.832120498457214,2.8415510743054077e-06,0.9964638861084765,0.0018309773753766596
coverrear_Lp,0.02,4.3943833552493885,3.964897116598802,1.1858762830330249e-05,0.9967993785747821,0.0019982053621310967
cow,0.01,1.4406370414758056,1.2777962288611713,2.0111179977366125e-06,0.9975267281914189,0.001310054580052485
cow,0.02,3.2254335600679003,2.993722049432626,1.0966286578728402e-05,0.9972214667318466,0.0013910728075517767
duck,0.01,2.127587016604918,1.8406621718508311,7.388092807499532e-06,0.9964998685653742,0.001857418632290974
duck,0.02,4.482843967631579,3.9985483042693533,1.688044305539006e-05,0.9966294188122546,0.0020761514093407475
eight,0.01,1.6380037259254279,1.4267695120767725,6.223763379746754e-06,0.9972112391130059,0.001506656562392372
eight,0.02,3.66033459247681,3.336437905970529,9.559902829812022e-06,0.9967749964617776,0.001628708635131193
elephant,0.01,1.473099934657213,1.3083483513277145,8.30453165483508e-06,0.9975246018223334,0.0013203519019228433
elephant,0.02,3.287035479330072,3.0629506120216194,2.133394819164601e-06,0.9972568892345463,0.0013827940511226013
elk,0.01,1.8635326844072688,1.647189115699692,2.5276489992480914e-06,0.9994344592520885,0.001632455153144268
elk,0.02,3.8564548974359463,3.5265588374054886,1.186572270305915e-05,0.9963802152958596,0.001749792523085474
fandisk,0.01,1.6599582050589619,1.4612364956936261,1.2964071511291067e-06,0.9985265113626989,0.0014859099270550238
fandisk,0.02,3.583083633517469,3.2907210869576518,6.6263829766627845e-06,0.9969090003647221,0.001585948225047518
genus3,0.01,2.049611874179151,1.7753270238893493,7.504670483644656e-06,0.996587010429834,0.0018082253524631454
genus3,0.02,4.33472516698993,3.909472516727602,6.832588817179975e-06,0.9965080768900932,0.0019633784734757248
horse,0.01,1.2979985799929763,1.152717399428383,3.8277662777452285e-06,0.9980786214899466,0.001216107557452868
horse,0.02,3.0661151078484754,2.858281271473792,4.058875312920293e-06,0.9973361340445241,0.0012948840462098069
kitten,0.01,1.754950863581626,1.5258872351060484,3.522554184929999e-06,0.9975792081257813,0.0016054372919719895
kitten,0.02,3.855219038927577,3.5005029284540337,9.744005117124657e-06,0.9969565601001187,0.001734503887671291
moai,0.01,1.7641770175385045,1.5420994006563762,6.42619745021425e-06,0.9969394431197082,0.0015973146716370082
moai,0.02,3.81202803406274,3.4716006043072474,1.1443325119441005e-05,0.9968196670168549,0.0017258131932633201
pig,0.01,1.7466903260470612,1.5211925258384684,3.106616245291395e-05,0.9973477244413151,0.0015809067100239827
pig,0.02,3.8147481699936856,3.4632217669419667,2.210430839021573e-05,0.9973516566780886,0.001719782285178725
quadric,0.01,1.5453202610282877,1.3708367253646507,1.1902392300832218e-05,0.9973076432055649,0.0013811819886146936
quadric,0.02,3.297131083041805,3.0592858246569756,1.9980193557620698e-05,0.996996473786462,0.0014466078381980259
sculpt,0.01,2.6667896815548677,2.2845978096517547,8.284525223347921e-06,0.9948510239958016,0.0023441527879569154
sculpt,0.02,6.143184301184444,5.425714082979026,4.232208975345426e-06,0.9949847177142771,0.002761321421112153
star,0.01,2.214712985886283,1.8999544614657995,3.4133800919074396e-06,0.9962615760034916,0.0019387339428419295
star,0.02,4.658439866748124,4.125545626631378,6.79333246047044e-06,0.996217848268147,0.0021983829869950382
