shape,noise,cd_noisy,cd_denoised,centroid_shift,scale_ratio,mean_disp
Icosahedron,0.01,2.3978110272965893,1.607751419883049,0.000424857293151558,0.9665436480575345,0.007458483135221726
Icosahedron,0.02,5.124044003336765,2.429098276440105,0.0002786530230244388,0.960500476664391,0.015173762996170839
Octahedron,0.01,2.0988045388810423,1.3467562222082998,0.00039502368362860933,0.9594761138051682,0.007616534797500171
Octahedron,0.02,4.43631376444545,1.8517127207798898,0.00038574900547287997,0.9519916456735811,0.015205568076210216
camel,0.01,1.3245339496830464,1.030134086678106,0.0005570927845098673,0.9765295408826409,0.009702530139320053
camel,0.02,2.9868273130590794,1.3520147650824275,0.0005918282814801762,0.9460509448522973,0.01638023829889807
casting,0.01,2.1207442338771365,5.665039111204652,0.0008830334557994647,0.9766471999874453,0.022467123208510846
casting,0.02,3.948834426516039,5.9124047990123465,0.000616843825122534,0.969658179557548,0.02573857448428
chair,0.01,1.3891223305699096,1.6947148707965811,0.0007609635630067997,1.0016273612978774,0.012891309092069064
chair,0.02,2.873163000258001,2.159252228417736,0.0008792532679026286,0.9833582174099653,0.018240385686626313
coverrear_Lp,0.01,2.101725671833014,1.6686298741091012,0.0009752986340598664,0.9717533999829786,0.009282968984113486
coverrear_Lp,0.02,4.3943833552493885,2.174521655595913,0.0008279140680452324,0.969481241738657,0.016637295173922168
cow,0.01,1.4406370414758056,0.8911727288161758,0.0007005836831468676,0.9865456280342562,0.008910296606487032
cow,0.02,3.2254335600679003,1.2404600969641901,0.0004107186994337889,0.9790576846501938,0.01627994721970017
duck,0.01,2.127587016604918,1.400874388007717,0.0004945483800749709,0.97688050175221,0.007662381147454533
duck,0.02,4.482843967631579,1.9186584995868172,0.00034991945581286653,0.9510401361605275,0.015390725044942431
eight,0.01,1.6380037259254279,0.9237086652621908,0.0004208715836442637,0.9716912824685653,0.007110829841557828
eight,0.02,3.66033459247681,1.2234747222143592,0.0005426766415404539,0.9553974449411983,0.014989994652318433
elephant,0.01,1.473099934657213,1.3857461868037162,0.0005877008721694926,0.9744709033764111,0.010224468613526445
elephant,0.02,3.287035479330072,1.7796200292297837,0.0004282329285513156,0.9534911971475751,0.017278905018162864
elk,0.01,1.8635326844072688,1.6818943189213724,0.00204416483241463,0.9914404410477676,0.01050082694428119
elk,0.02,3.8564548974359463,1.9988043726458309,0.001601936516777076,0.9687974537383857,0.017390114533752315
fandisk,0.01,1.6599582050589619,1.1512663096352986,0.0009259475536487703,0.9714216359034046,0.00890982809096075
fandisk,0.02,3.583083633517469,1.4224131813169238,0.0008032162197695788,0.9723375896274152,0.016439373641952578
genus3,0.01,2.049611874179151,1.7140405444726419,0.0011620232293294383,0.9949645317028984,0.009187573964381636
genus3,0.02,4.33472516698993,2.443949219013043,0.0009381330883455116,0.9761362499166624,0.01657834926415639
horse,0.01,1.2979985799929763,0.8465779193169036,0.0002908474842343279,0.9804578940584829,0.00881899656379337
horse,0.02,3.0661151078484754,1.1281263958867016,0.000343503577916348,0.9576057495080513,0.01598953695393884
kitten,0.01,1.754950863581626,1.0846240009055412,0.0006202306943267726,0.9752541296443666,0.007729435575137067
kitten,0.02,3.855219038927577,1.4279816707070256,0.0005381310756213451,0.943745972514685,0.0156998901444189
moai,0.01,1.7641770175385045,1.1093250032128634,0.00038501579439236417,0.9907235576099016,0.007945171253948686
moai,0.02,3.81202803406274,1.450585914969186,0.00031059492905886193,0.9604131950259215,0.015656901996409057
pig,0.01,1.7466903260470612,1.1285927142761172,0.000344931215918119,0.9850653722748572,0.008331289515779473
pig,0.02,3.8147481699936856,1.5168670707884269,0.0003556069821077493,0.9690949536218996,0.015914611958712906
quadric,0.01,1.5453202610282877,1.1605477524667929,0.0007312015759254409,0.9929462724666209,0.009619453036114785
quadric,0.02,3.297131083041805,1.5271199789401122,0.00047895649772335044,0.9663528923606132,0.016895582660268856
sculpt,0.01,2.6667896815548677,2.311061558685148,0.0018376912354444576,0.9804991816444458,0.009330207345865827
sculpt,0.02,6.143184301184444,3.596255141858876,0.0014161047178111747,0.9473553947868476,0.016426783452413836
star,0.01,2.214712985886283,1.391303177136083,0.0003580782474016913,0.9868707571551649,0.007208502574152473
star,0.02,4.658439866748124,1.970628978086496,0.000257112272950579,0.9615383994824162,0.014777195874240335
