shape,noise,cd_noisy,cd_denoised,centroid_shift,scale_ratio,mean_disp
Icosahedron,0.01,2.3978110272965893,1.744999820380883,6.385109360059208e-05,0.9935620788147073,0.005622565896099771
Icosahedron,0.02,5.124044003336765,3.002900003452204,0.0002442116762712437,0.9855855862351506,0.0114570158106857
Octahedron,0.01,2.0988045388810423,1.4740243949358902,0.00010614739176013084,0.998040747919122,0.00571509979215167
Octahedron,0.02,4.43631376444545,2.557561788248351,0.00024936133875557516,0.977130292607206,0.01087797832293264
camel,0.01,1.3245339496830464,0.8644896918322238,5.251132568837888e-05,0.98746646532691,0.005834771149011641
camel,0.02,2.9868273130590794,1.994219468188567,5.368563788720885e-05,0.9760665452692517,0.0081430364929641
casting,0.01,2.1207442338771365,1.8941524863082704,0.00014443002108844184,0.9833808872011606,0.006027433843726626
casting,0.02,3.948834426516039,3.2025814703453284,0.00010944389281906369,0.9959596883433709,0.010593244700733173
chair,0.01,1.3891223305699096,1.1358737818310252,7.937344843873387e-05,0.9939433591275123,0.007185068749033048
chair,0.02,2.873163000258001,2.118234499024383,0.0001639878154059893,0.9954276182840464,0.008097190417133273
coverrear_Lp,0.01,2.101725671833014,1.550425241860428,5.0034710980825235e-05,0.9932737621962567,0.005106727095158507
coverrear_Lp,0.02,4.3943833552493885,2.7233414202670505,0.0001367478252765138,0.9859716298191006,0.010385636634466204
cow,0.01,1.4406370414758056,0.9228577218951903,0.0002622255621993502,0.9853899476066554,0.005893933352522282
cow,0.02,3.2254335600679003,2.048484234544736,0.00021867411742439326,0.983374525338695,0.00876652990715665
duck,0.01,2.127587016604918,1.5232479411822715,9.002294203155788e-05,0.9965692299821693,0.0054843617709164905
duck,0.02,4.482843967631579,2.5429092275484004,0.00016435638136686175,0.9871403833334516,0.011087822666990738
eight,0.01,1.6380037259254279,1.0548780164833562,4.899456477053456e-05,0.9865009613156649,0.005862301027377528
eight,0.02,3.66033459247681,2.106888357290545,0.00017257744555221097,0.9821812832964008,0.009626561420339876
elephant,0.01,1.473099934657213,0.982889924665305,7.213068660181947e-05,0.9892119145056244,0.005616979329451152
elephant,0.02,3.287035479330072,2.159869887799838,7.189205242985543e-05,0.9973274388071144,0.008654633903626627
elk,0.01,1.8635326844072688,1.3548761933333324,7.073199730234032e-05,0.9981598401393398,0.005804681455675073
elk,0.02,3.8564548974359463,2.4106475213027307,0.0001709469696792655,0.9863075979138074,0.010399041758916951
fandisk,0.01,1.6599582050589619,1.1287430932529958,8.067483282973228e-05,0.9949410974187882,0.0056502135379551165
fandisk,0.02,3.583083633517469,2.212681038311415,0.0001374432363254043,0.9918189468410336,0.009572364435344415
genus3,0.01,2.049611874179151,1.45571984751082,6.23332859267274e-05,0.9905940876947558,0.0054304144389990695
genus3,0.02,4.33472516698993,2.6376227983519582,0.00012471501583882042,0.9856351822312056,0.010360653633659024
horse,0.01,1.2979985799929763,0.8083470894979303,0.0001444699679545266,0.9904467278701145,0.005862339676661964
horse,0.02,3.0661151078484754,1.9568575058665183,0.0001992862645047153,0.9868437765704633,0.00844268203602121
kitten,0.01,1.754950863581626,1.1782329624232182,7.446780684708817e-05,0.9963318337802322,0.005688071361994822
kitten,0.02,3.855219038927577,2.1755845069457327,6.095871029131191e-05,0.9858212968906978,0.010424448978956797
moai,0.01,1.7641770175385045,1.1944643882804098,0.00010391261672882368,0.9941679977860899,0.005851618461482742
moai,0.02,3.81202803406274,2.2404100900417965,0.0001568220430360789,0.977099413074792,0.010206070590437015
pig,0.01,1.7466903260470612,1.164356092791322,0.00015214474806007203,0.9985922441758224,0.0056838587565861695
pig,0.02,3.8147481699936856,2.1616156923523064,0.00022353539662060923,0.9803131035349905,0.010293715054280696
quadric,0.01,1.5453202610282877,1.043500772130251,0.00016076640868933976,0.9915791555697367,0.00592811709574347
quadric,0.02,3.297131083041805,2.1311348067374585,0.00022469092268631038,0.9939702008054042,0.009030831838426304
sculpt,0.01,2.6667896815548677,2.1393355110264523,2.387734092854659e-05,0.9976708784073666,0.0042522158860966545
sculpt,0.02,6.143184301184444,4.058067356500884,0.00014383679074167347,0.9829788694645918,0.011196064249848514
star,0.01,2.214712985886283,1.5594240231234784,7.635534149177954e-05,0.9925838570675397,0.005586397259358791
star,0.02,4.658439866748124,2.641938882737593,0.00013975869754323834,0.9854243505351385,0.010809781169173303
