param,value,Z,Bdry
lam_n,6.25,21.589583789290714,8.809548395342437
lam_n,12.5,21.838150603435047,8.988303342105642
lam_n,25.0,21.961215206557068,9.094104329925912
lam_n,50.0,21.92739394408357,9.217930071790075
anchor,300.0,22.510286191168387,9.572500464685923
anchor,1000.0,21.838150603435047,8.988303342105642
anchor,3000.0,21.07701543101406,8.535970527018321
cap_sigma,1.5,20.546697605730024,8.148561686147083
cap_sigma,2.0,21.838150603435047,8.988303342105642
cap_sigma,2.5,22.48838775616359,9.344181699869614
cap_sigma,3.0,22.805269254021525,9.431433791538058
prop_decay,0.6,22.97175788932988,9.542741024296564
prop_decay,0.75,21.838150603435047,8.988303342105642
prop_decay,0.9,19.709187403363426,7.3718217022619825
k,8,17.06622584575851,7.549029094136562
k,12,21.838150603435047,8.988303342105642
k,16,22.774792682947144,8.361268846104696
k,20,21.6335537900175,8.310217545084287
