shape,rel_noise,normals,raw_over_sigma
plane,0.1,true,0.8015230066809128
plane,0.1,pca,0.6959781991703183
plane,0.2,true,0.7937930852701864
plane,0.2,pca,0.6927926688062531
plane,0.4,true,0.7848626043143073
plane,0.4,pca,0.6871172415959514
plane,0.8,true,0.7530580544867738
plane,0.8,pca,0.6610286882705497
sphere,0.1,true,0.9496670610503308
sphere,0.1,pca,0.8280634864979097
sphere,0.2,true,0.8333436644183772
sphere,0.2,pca,0.741078838792941
sphere,0.4,true,0.8106216485183194
sphere,0.4,pca,0.7121981812250227
sphere,0.8,true,0.7801747196112708
sphere,0.8,pca,0.6801028343996739
cylinder,0.1,true,0.9835858369800754
cylinder,0.1,pca,0.8424281248935883
cylinder,0.2,true,0.8457640301431288
cylinder,0.2,pca,0.7328863502968272
cylinder,0.4,true,0.80044246716587
cylinder,0.4,pca,0.6959613762970279
cylinder,0.8,true,0.7727589649776634
cylinder,0.8,pca,0.6605569190496219
ridge,0.1,true,0.7928334729840929
ridge,0.1,pca,0.6947362238756832
ridge,0.2,true,0.7890042693915588
ridge,0.2,pca,0.6940243092272709
ridge,0.4,true,0.7780641890552493
ridge,0.4,pca,0.6893490808958878
ridge,0.8,true,0.7639292764256389
ridge,0.8,pca,0.6579137569684682
corner,0.1,true,0.8166114288108669
corner,0.1,pca,0.7031407717448951
corner,0.2,true,0.8103237002448099
corner,0.2,pca,0.7091889745450276
corner,0.4,true,0.80893579768144
corner,0.4,pca,0.6930952199910263
corner,0.8,true,0.781771087281935
corner,0.8,pca,0.6669922816504599
