shape,sigma,noise,seed,method,overall,near,smooth,time
plane,0.5,gauss,7,Bilateral,12.457339314273707,nan,12.457339314273707,0.68721604347229
plane,0.5,gauss,7,MLS,33.09701423703727,nan,33.09701423703727,0.5507631301879883
plane,0.5,gauss,7,GLR,44.375688723280504,nan,44.375688723280504,0.6248619556427002
plane,0.5,gauss,7,Prior-v1,11.366230677122402,nan,11.366230677122402,4.814567804336548
plane,0.5,gauss,7,Prior-v2,46.02941945074629,nan,46.02941945074629,4.769052743911743
plane,0.5,gauss,19,Bilateral,12.631535821794504,nan,12.631535821794504,0.7233834266662598
plane,0.5,gauss,19,MLS,33.06733679358332,nan,33.06733679358332,0.5703623294830322
plane,0.5,gauss,19,GLR,44.22523967011626,nan,44.22523967011626,0.6232826709747314
plane,0.5,gauss,19,Prior-v1,11.489875734424027,nan,11.489875734424027,4.8401734828948975
plane,0.5,gauss,19,Prior-v2,47.20228674818031,nan,47.20228674818031,4.81215763092041
plane,0.5,gauss,101,Bilateral,12.597003829462938,nan,12.597003829462938,0.7154831886291504
plane,0.5,gauss,101,MLS,33.288313732794975,nan,33.288313732794975,0.5571563243865967
plane,0.5,gauss,101,GLR,44.523309542306286,nan,44.523309542306286,0.6360163688659668
plane,0.5,gauss,101,Prior-v1,11.559504812199673,nan,11.559504812199673,4.836819887161255
plane,0.5,gauss,101,Prior-v2,47.037524220475014,nan,47.037524220475014,4.8433613777160645
plane,1.0,gauss,7,Bilateral,6.422215352357174,nan,6.422215352357174,0.7485275268554688
plane,1.0,gauss,7,MLS,18.857616507434784,nan,18.857616507434784,0.5705938339233398
plane,1.0,gauss,7,GLR,26.67037303157057,nan,26.67037303157057,0.6236095428466797
plane,1.0,gauss,7,Prior-v1,4.59292053473842,nan,4.59292053473842,4.639670133590698
plane,1.0,gauss,7,Prior-v2,34.60123019592069,nan,34.60123019592069,4.6145548820495605
plane,1.0,gauss,19,Bilateral,6.479179963040127,nan,6.479179963040127,0.7164416313171387
plane,1.0,gauss,19,MLS,18.753425847124326,nan,18.753425847124326,0.5693552494049072
plane,1.0,gauss,19,GLR,26.57025285396739,nan,26.57025285396739,0.6201493740081787
plane,1.0,gauss,19,Prior-v1,4.588784430297488,nan,4.588784430297488,4.6013617515563965
plane,1.0,gauss,19,Prior-v2,33.93735035849179,nan,33.93735035849179,4.553429365158081
plane,1.0,gauss,101,Bilateral,6.666463794290123,nan,6.666463794290123,0.695122241973877
plane,1.0,gauss,101,MLS,19.575349451501477,nan,19.575349451501477,0.5661234855651855
plane,1.0,gauss,101,GLR,27.602557530266292,nan,27.602557530266292,0.6233158111572266
plane,1.0,gauss,101,Prior-v1,4.660687986556611,nan,4.660687986556611,4.611230134963989
plane,1.0,gauss,101,Prior-v2,35.53901865972768,nan,35.53901865972768,4.567058801651001
plane,1.0,laplace,7,Bilateral,6.422451361159109,nan,6.422451361159109,0.6958432197570801
plane,1.0,laplace,7,MLS,17.005170063086304,nan,17.005170063086304,0.5556697845458984
plane,1.0,laplace,7,GLR,23.463183274836652,nan,23.463183274836652,0.6187105178833008
plane,1.0,laplace,7,Prior-v1,4.907974164505324,nan,4.907974164505324,4.69950270652771
plane,1.0,laplace,7,Prior-v2,24.361498291152685,nan,24.361498291152685,4.66744327545166
plane,1.0,laplace,19,Bilateral,6.378510891157763,nan,6.378510891157763,0.6976745128631592
plane,1.0,laplace,19,MLS,16.944005408276862,nan,16.944005408276862,0.5788383483886719
plane,1.0,laplace,19,GLR,23.363439447840506,nan,23.363439447840506,0.6359696388244629
plane,1.0,laplace,19,Prior-v1,4.81193795922219,nan,4.81193795922219,4.684768199920654
plane,1.0,laplace,19,Prior-v2,24.636140103056427,nan,24.636140103056427,4.602993965148926
plane,1.0,laplace,101,Bilateral,6.175092708208673,nan,6.175092708208673,0.7136459350585938
plane,1.0,laplace,101,MLS,16.400877304080797,nan,16.400877304080797,0.5548379421234131
plane,1.0,laplace,101,GLR,22.65115483768747,nan,22.65115483768747,0.6141970157623291
plane,1.0,laplace,101,Prior-v1,4.677243123894392,nan,4.677243123894392,4.677612781524658
plane,1.0,laplace,101,Prior-v2,24.537861554182104,nan,24.537861554182104,4.61979866027832
plane,1.0,outlier,7,Bilateral,3.240522203152285,nan,3.240522203152285,0.7383604049682617
plane,1.0,outlier,7,MLS,8.82552732345776,nan,8.82552732345776,0.5631051063537598
plane,1.0,outlier,7,GLR,12.231458422594388,nan,12.231458422594388,0.6363270282745361
plane,1.0,outlier,7,Prior-v1,1.9819182289190773,nan,1.9819182289190773,4.583714008331299
plane,1.0,outlier,7,Prior-v2,13.25991382665328,nan,13.25991382665328,4.59449577331543
plane,1.0,outlier,19,Bilateral,3.1583824781376557,nan,3.1583824781376557,0.7212297916412354
plane,1.0,outlier,19,MLS,8.510089810129628,nan,8.510089810129628,0.5640738010406494
plane,1.0,outlier,19,GLR,11.747624192469274,nan,11.747624192469274,0.6336066722869873
plane,1.0,outlier,19,Prior-v1,1.9995740311038457,nan,1.9995740311038457,4.623106241226196
plane,1.0,outlier,19,Prior-v2,12.317622963224629,nan,12.317622963224629,4.63098669052124
plane,1.0,outlier,101,Bilateral,3.2632082343487467,nan,3.2632082343487467,0.7198517322540283
plane,1.0,outlier,101,MLS,8.924923911698833,nan,8.924923911698833,0.5748245716094971
plane,1.0,outlier,101,GLR,12.313070828352279,nan,12.313070828352279,0.6288669109344482
plane,1.0,outlier,101,Prior-v1,2.000840142412441,nan,2.000840142412441,4.637428522109985
plane,1.0,outlier,101,Prior-v2,13.859083812792905,nan,13.859083812792905,4.8029539585113525
sphere,0.5,gauss,7,Bilateral,17.63497751844839,nan,17.63497751844839,0.6935830116271973
sphere,0.5,gauss,7,MLS,40.326020290930956,nan,40.326020290930956,0.5503945350646973
sphere,0.5,gauss,7,GLR,49.085770345166566,nan,49.085770345166566,0.6168484687805176
sphere,0.5,gauss,7,Prior-v1,16.301448415528263,nan,16.301448415528263,4.837832689285278
sphere,0.5,gauss,7,Prior-v2,44.351750290178195,nan,44.351750290178195,4.791826486587524
sphere,0.5,gauss,19,Bilateral,17.840830820089714,nan,17.840830820089714,0.731377124786377
sphere,0.5,gauss,19,MLS,40.479842466104344,nan,40.479842466104344,0.565922737121582
sphere,0.5,gauss,19,GLR,48.977558796968324,nan,48.977558796968324,0.6193230152130127
sphere,0.5,gauss,19,Prior-v1,16.506721568828407,nan,16.506721568828407,4.870534896850586
sphere,0.5,gauss,19,Prior-v2,44.766471270703136,nan,44.766471270703136,4.838428258895874
sphere,0.5,gauss,101,Bilateral,17.790531387669397,nan,17.790531387669397,0.7071475982666016
